leverantör,year,belopp
AB EVERGREEN SOLUTIONS,2017,17238.75
AB EVERGREEN SOLUTIONS,2018,12564.75
AB EVERGREEN SOLUTIONS (FB),2019,30528.87
AB FANHULTSTVÄTTEN,2019,20043.25
AB FASTIGH I GBG JH/KB KVARNEN 29,2016,5706.0
AB FASTIGH I GBG JH/KB KVARNEN 29,2017,46604.0
AB FJÄDERBORGEN,2016,103812.46000000002
AB FJÄDERBORGEN,2017,134483.00999999998
AB FJÄDERBORGEN,2018,105922.12000000001
AB FJÄDERBORGEN,2019,117291.12
AB FLAGGFABRIKEN,2016,716.0
AB FLAGGFABRIKEN NATIONAL,2016,41732.0
AB FLAGGFABRIKEN NATIONAL,2017,11282.5
AB FLAGGFABRIKEN NATIONAL,2018,5220.0
AB FLAGGFABRIKEN NATIONAL (FB),2019,23652.0
AB FLEXBOX,2016,2558.4
AB FOGSPECIALISTEN,2016,13970.39
AB FOGSPECIALISTEN,2018,183823.99
AB FRIAB (FB),2016,6127017.6
AB FRIAB (FB),2017,6412768.0
AB FRIAB (FB),2018,796652.0
AB FROMAX,2018,2768.0
AB FURHOFFS ROSTFRIA,2018,285.7
AB FURHOFFS ROSTFRIA,2019,1562.5
AB FÖRENADE ORD,2016,6000.0
AB GAMLESTADENS BILSKOLA,2016,15840.0
AB GAMLESTADENS BILSKOLA,2017,7200.0
AB GARAMOND,2018,6800.0
AB GARAMOND,2019,38900.0
AB GENSE,2016,6416.75
AB GEVEA,2016,169443.95
AB GOTENIUS VARV,2016,322858.5
AB GOTENIUS VARV,2017,365000.0
AB GOTENIUS VARV,2018,25732.12
AB GOTENIUS VARV,2019,184101.63999999998
AB GOTHIA KAMERAÖVERVAKNING,2016,46676.0
AB GOTHIA KAMERAÖVERVAKNING,2017,1940.0
AB GOTHIA KAMERAÖVERVAKNING,2018,353642.0
AB GOTHIA KAMERAÖVERVAKNING,2019,194017.0
AB GUNNAR PELLVIK,2016,8920.0
AB GUNNAR PELLVIK,2017,4705.65
AB GUSTAV STRÖMBLAD,2016,494645.81999999995
AB GUSTAV STRÖMBLAD,2017,230998.79
AB GUSTAV STRÖMBLAD,2018,75532.5
AB GUSTAV STRÖMBLAD,2019,210372.24
AB GÖTE ANDERSSONS BEGRAVNINGSBYRÅ,2016,951.2
AB GÖTEBORGI EESTI MAJA,2018,300.0
AB GÖTEBORGS FÖRENADE PLÅTSLAGERI,2016,892419.25
AB GÖTEBORGS FÖRENADE PLÅTSLAGERI,2017,13462.619999999999
AB GÖTEBORGS FÖRENADE PLÅTSLAGERI,2018,21680.2
AB GÖTEBORGS FÖRENADE PLÅTSLAGERI,2019,15900.75
AB GÖTEBORGS GOLVLÄGGARECENTRAL,2016,170743.49
AB GÖTEBORGS GOLVLÄGGARECENTRAL,2017,288996.23999999993
AB GÖTEBORGS GOLVLÄGGARECENTRAL,2018,395139.57999999996
AB GÖTEBORGS GOLVLÄGGARECENTRAL,2019,897660.49
AB GÖTEBORGS HYRESHUS,2018,1000.0
AB GÖTEBORGS KYL OCH FRYS,2017,2681.7
AB GÖTEBORGS UNGDOMSHEM,2019,8752879.0
AB H BRUNNER (FB),2016,1915.25
AB H BRUNNER (FB),2017,3920.0
AB H BRUNNER (FB),2019,1644.0
AB HANDELNS UTREDNINGSINSTITUT,2016,38445.75
AB HANS EHLERS,2018,4600.0
AB HARRY PERSSON BYGGNADSVAROR,2017,1049.6
AB HELASTADEN,2016,5000.0
AB HESTRAVIKEN,2016,2447.25
AB HILDING JANSON,2016,28985397.980000027
AB HILDING JANSON,2017,19510377.86999978
AB HILDING JANSON,2018,3037.12
AB HYLLTEKNIK,2017,819.25
AB HYLLTEKNIK,2018,20154.25
AB HYRCENTRALEN VÄST,2016,62735.4
AB HYRCENTRALEN VÄST,2017,2700.0
AB HÄLSA OCH KUNSKAP,2016,8904.5
AB HÖGSBO PLÅTSLAGERI,2016,3189471.09
AB HÖGSBO PLÅTSLAGERI,2017,3277959.75
AB HÖGSBO PLÅTSLAGERI,2018,2804667.75
AB HÖGSBO PLÅTSLAGERI,2019,1582231.9900000002
AB INDIVIDKRAFT,2019,927821.0
AB INDUSTRI & PRIVATLARM,2017,3010.5
AB INDUSTRIKONTROLL NDT,2016,60000.0
AB INTERNATIONELLA SMÅLÄNDSKA FUNDERINGAR,2018,3200.0
AB INTERNATIONELLA SMÅLÄNDSKA FUNDERINGAR,2019,8050.0
AB IPS ALARM DIRECT,2016,-5816.75
AB JANNE FRIDÉN & CONNY ALEXANDERSSON MÅLERI,2017,12700.0
AB JIFFY,2016,24839.049999999996
AB JIFFY,2017,35365.049999999996
AB JIFFY,2018,25260.42000000001
AB JIFFY,2019,24416.74
AB JOANS GULD,2016,1079747.0
AB JOANS GULD,2017,1151729.75
AB JOANS GULD,2018,627956.75
AB JOANS GULD,2019,1418669.25
AB JOHN FRÖBERG,2016,5284.0
AB JOHN FRÖBERG,2017,4617.0
AB JOHN FRÖBERG,2018,739.25
AB JOHN FRÖBERG,2019,10069.0
AB JOSEF WILUND,2016,1821.6
AB K. LINDQVIST,2018,6532.0
AB K. LINDQVIST,2019,1168.0
AB K. WALDEMAR LARSSON,2016,2356.0
AB K. WALDEMAR LARSSON,2018,8291.25
AB KAKEL I VÄST GÖTEBORG,2017,18750.0
AB KARENINA,2018,6000.0
